Date,Close,log_return,realized_vol5,realized_vol10,realized_vol21,vol_of_vol5,parkinson,gk_vol,rv_lag1,rv_lag5,rv_lag21,vix,vix_change,mom_5d,mom_21d,target_rv
2020-02-11,306.38323974609375,0.0017315531381518975,0.10049709986260119,0.14935168421695996,0.133205406349209,0.8102953335064607,0.07810405326728449,0.010284096830013228,0.12555374317302598,0.19792391694187106,0.07270683472374456,15.180000305175781,0.009308533489218451,0.018841673075295384,0.029320498122434202,0.08031150187739959
2020-02-12,308.3572082519531,0.006422142212369943,0.08031150187739959,0.14922566712819688,0.13298995345966003,0.7744940055903725,0.07691467870372397,0.00970922735643214,0.10049709986260119,0.2085079781321677,0.08021010804622046,13.739999771118164,-0.09486169335363148,0.013699555042609557,0.02887625227008561,0.0841529923925901
2020-02-13,308.0282287597656,-0.0010674474238724385,0.0841529923925901,0.15079462257454349,0.1328742245599895,0.34529599599512073,0.07789925904166312,0.015213352277231284,0.08031150187739959,0.20849008345624742,0.07503246115282731,14.149999618530273,0.02983987294337087,0.009222059231273061,0.029348059203578858,0.05682872991559695
2020-02-14,308.5217590332031,0.0016009419791398656,0.05682872991559695,0.09564095744746555,0.1328388857687649,0.404818207125785,0.07752564171023124,0.010428284327791764,0.0841529923925901,0.1255352217140711,0.07191613286006228,13.680000305175781,-0.03321550007245233,0.016255641499725026,0.028672386532440086,0.054498549346053554
2020-02-18,307.7266845703125,-0.0025803713171140327,0.054498549346053554,0.10105574447510252,0.13100825427651588,0.308662622207238,0.0788239795393177,0.012617744447239159,0.05682872991559695,0.12555374317302598,0.0784100209549403,14.829999923706055,0.08406429772484536,0.006125503220501427,0.017557211928671546,0.06025371821062777
2020-02-19,309.1978759765625,0.004769446020389208,0.06025371821062777,0.07972549516688006,0.13149802445582684,0.2211712555846029,0.07914989137264847,0.014973124030982778,0.054498549346053554,0.10049709986260119,0.06181576610971545,14.380000114440918,-0.030343884799743148,0.009186652092331382,0.019249536766304365,0.05593637852340931
2020-02-20,307.9277038574219,-0.004116419588574506,0.05593637852340931,0.06990912886802886,0.13230034828331935,0.1965216384896628,0.08398601472610825,0.012593694427428881,0.06025371821062777,0.08031150187739959,0.06587801321206102,15.5600004196167,0.08205843503372323,-0.0013928793718365196,0.017053955238104823,0.09162724209806164
2020-02-21,304.75665283203125,-0.010351429104109867,0.09162724209806164,0.08934708227992881,0.13784055066378728,0.24896667745953968,0.08594024130149494,0.0027264543588944924,0.05593637852340931,0.0841529923925901,0.06114169555384384,17.079999923706055,0.09768634081610128,-0.010621026329005412,0.006458964306126802,0.23381188150106202
2020-02-24,294.6492919921875,-0.03372779017727382,0.23381188150106202,0.19115733498861207,0.18126357515677868,1.2184260169844516,0.09923760525108428,0.07712623042244252,0.09162724209806164,0.05682872991559695,0.061767105498383414,25.030000686645508,0.46545672122078363,-0.044964306843338964,-0.028035271953916197,0.2668412447484394
2020-02-25,285.72064208984375,-0.030771250849926608,0.2668412447484394,0.2258825864048242,0.2067614362798444,1.6001217765603666,0.1105624780097858,0.02667406284643317,0.23381188150106202,0.054498549346053554,0.0736601714354119,27.850000381469727,0.11266478695419302,-0.07151164843307756,-0.04903141311534054,0.23220470676574403
